descripcion,valor_usd,valor_pen,categoria,subcategoria,idioma,es_sintetico
servicio no identificado / servicio general,163.15,603.63,Otros,Otros,es,True
plataforma de aprendizaje / Coursera,258.5,956.47,Educación,Plataformas de aprendizaje,es,True
Concert Tickets,633.27,2343.1,Entretenimiento,Eventos,en,False
comercio no identificado - compra diversa,78.77,291.43,Otros,Otros,es,True
ropa / tienda departamental,204.05,754.98,Compras,Ropa,es,True
hotel local - boleto aéreo,1008.93,3733.08,Viajes,Vuelo,es,True
empresa eléctrica - internet y telefonía,102.48,379.16,Servicios,Internet y telefonía,es,True
Pago de consulta dental en farmacia local,414.26,1532.78,Salud y bienestar,Odontología,es,True
Pago de frutas en PedidosYa,62.25,230.32,Alimentación,Supermercado,es,True
cine local - servicio de streaming,68.89,254.87,Entretenimiento,Streaming,es,True
empresa de servicios - recibo de gas,146.36,541.53,Servicios,Gas domiciliario,es,True
centro médico - equipo para ejercicio,72.01,266.44,Salud y bienestar,Equipamiento deportivo,es,True
comercio local - eletrônicos,494.65,1830.25,Compras,Electrónica,pt,True
servicio general - serviço não identificado,54.03,199.88,Otros,Otros,pt,True
Compra en hotel local: boleto aéreo,195.86,724.66,Viajes,Vuelo,es,True
servicio de streaming / Spotify,46.88,173.44,Entretenimiento,Streaming,es,True
Natura - champú,133.52,494.03,Cuidado personal,Higiene,es,True
centro médico - membresía de gimnasio,110.11,407.38,Salud y bienestar,Gimnasio,es,True
Pago de cuidado de la piel en Natura,210.82,780.04,Cuidado personal,Cuidado de la piel,es,True
Compra en hotel local: boleto aéreo,691.29,2557.83,Viajes,Vuelo,es,True
Compra en pago diverso: compra diversa,167.98,621.52,Otros,Otros,es,True
PedidosYa - café,74.88,277.05,Alimentación,Cafetería,es,True
Pago de recibo de gas en empresa eléctrica,197.72,731.56,Servicios,Gas domiciliario,es,True
Compra en Miniso: juegos infantiles - Mercado Pago,244.3,903.9,Regalos,Juguetes,es,True
fast food / iFood,156.07,577.44,Alimentación,Comida rápida,pt,True
consulta dental / farmacia local,241.46,893.39,Salud y bienestar,Odontología,es,True
Pago de compra diversa en servicio general,40.45,149.63,Otros,Otros,es,True
empresa eléctrica - recibo de agua,124.39,460.24,Servicios,Agua,es,True
Dinner with Friends,147.57,546.01,Entretenimiento,Eventos,en,False
Pago de ropa en Mercado Libre,138.0,510.6,Compras,Ropa,es,True
pollo / Oxxo,14.91,55.15,Alimentación,Supermercado,es,True
Cabify - combustible,193.63,716.44,Transporte,Combustible,es,True
Coursera - curso profesional,134.06,496.03,Educación,Cursos,es,True
Compra en Cornershop: pan - Mercado Pago,31.79,117.61,Alimentación,Supermercado,es,True
Pago de transporte público en estación de servicio,21.03,77.77,Transporte,Transporte público,es,True
Booking - alojamiento en hotel,223.28,826.14,Viajes,Alojamiento,es,True
Pago de internet y telefonía en empresa eléctrica,49.83,184.36,Servicios,Internet y telefonía,es,True
ropa / Mercado Libre,154.3,570.9,Compras,Ropa,es,True
Pago de entradas de cine en Spotify,183.21,677.88,Entretenimiento,Cine,es,True
Pago de juegos infantiles en Miniso,155.91,576.87,Regalos,Juguetes,es,True
consulta dental / centro médico,184.58,682.97,Salud y bienestar,Odontología,es,True
productos electrónicos / Mercado Libre,538.68,1993.2,Compras,Electrónica,es,True
Kids Games,155.33,574.72,Regalos,Juguetes,en,False
tienda departamental - calçados,296.05,1095.41,Compras,Calzado,pt,True
Compra em Carrefour: fast food,73.39,271.54,Alimentación,Comida rápida,pt,True
transporte público / Uber - Yape,52.07,192.63,Transporte,Transporte público,es,True
compra diversa / servicio general,106.22,393.02,Otros,Otros,es,True
Jewelry,702.36,2598.73,Regalos,Joyería,en,False
personal trainer / farmacia local,325.38,1203.92,Salud y bienestar,Entrenamiento,pt,True
Compra en tienda de regalos: tarjeta de regalo,111.47,412.41,Regalos,Tarjeta de regalo,es,True
Pago de compra diversa en pago diverso,94.65,350.19,Otros,Otros,es,True
Compra em proveedor de internet: conta de água,36.05,133.36,Servicios,Agua,pt,True
Compra en Spotify: materiales para tejido,57.99,214.56,Entretenimiento,Lectura y pasatiempos,es,True
Compra em pago diverso: compra diversa,113.8,421.03,Otros,Otros,pt,True
Compra en pago diverso: servicio no identificado,58.85,217.73,Otros,Otros,es,True
florería local - joyería,328.09,1213.95,Regalos,Joyería,es,True
materiales educativos / institución educativa,109.1,403.67,Educación,Materiales educativos,es,True
Payment for rent at servicio del hogar,1044.21,3863.66,Vivienda,Alquiler,en,True
Pago de boleto aéreo en LATAM,538.58,1992.78,Viajes,Vuelo,es,True
Compra en cine local: entradas para concierto,41.05,151.86,Entretenimiento,Eventos,es,True
Car,166341.93,615465.14,Compras,Vehículo,en,False
institución educativa - plataforma de aprendizaje,24.75,91.58,Educación,Plataformas de aprendizaje,es,True
Pago de alquiler de vivienda en arrendador,573.98,2123.77,Vivienda,Alquiler,es,True
Pago de servicio de streaming en cine local,68.26,252.55,Entretenimiento,Streaming,es,True
Compra en cine local: suscripción a revista,39.78,147.16,Entretenimiento,Revistas,es,True
Miniso - flores,56.22,208.0,Regalos,Flores,es,True
Compra en tienda departamental: productos electrónicos,554.53,2051.85,Compras,Electrónica,es,True
Pago de productos electrónicos en comercio local - SPEI,255.61,945.77,Compras,Electrónica,es,True
conta de gás / proveedor de internet,248.54,919.59,Servicios,Gas domiciliario,pt,True
Pago de café en Supermaxi,156.16,577.77,Alimentación,Cafetería,es,True
pasta dental / Avon,37.33,138.09,Cuidado personal,Higiene,es,True
Pago de entradas de cine en cine local,30.56,113.07,Entretenimiento,Cine,es,True
consulta odontológica / centro médico - PIX,190.68,705.51,Salud y bienestar,Odontología,pt,True
Pago de matrícula académica en Udemy,239.45,885.97,Educación,Matrícula,es,True
centro médico - consulta dental,135.31,500.62,Salud y bienestar,Odontología,es,True
Pago de pan en Rappi,39.13,144.75,Alimentación,Supermercado,es,True
Compra en Miniso: tarjeta de regalo,216.05,799.38,Regalos,Tarjeta de regalo,es,True
farmacia local - consulta dental,152.71,565.02,Salud y bienestar,Odontología,es,True
estación de servicio - reparación vehicular,209.07,773.57,Transporte,Mantenimiento vehicular,es,True
Pago de mantenimiento del hogar en administración residencial,27.13,100.34,Vivienda,Mantenimiento del hogar,es,True
Compra en gimnasio local: entrenador personal - Mercado Pago,216.96,802.77,Salud y bienestar,Entrenamiento,es,True
Pago de internet y telefonía en empresa de servicios,145.14,536.99,Servicios,Internet y telefonía,es,True
Booking - alojamiento en hotel,315.01,1165.53,Viajes,Alojamiento,es,True
Compra en proveedor de internet: recibo de agua,31.19,115.4,Servicios,Agua,es,True
Compra em florería local: cartão-presente,29.63,109.61,Regalos,Tarjeta de regalo,pt,True
electricity bill / empresa de servicios,42.67,157.85,Servicios,Electricidad,en,True
centro médico - consulta médica,210.19,777.71,Salud y bienestar,Consulta médica,es,True
servicio general - servicio no identificado,84.5,312.64,Otros,Otros,es,True
Compra en Coto: snacks,42.18,156.05,Alimentación,Supermercado,es,True
taxi o aplicativo / estación de servicio,125.36,463.83,Transporte,Taxi y aplicativo,es,True
servicio no identificado / servicio general,132.98,492.03,Otros,Otros,es,True
Compra en comercio no identificado: compra diversa,43.88,162.33,Otros,Otros,es,True
centro médico - entrenador personal,202.73,750.12,Salud y bienestar,Entrenamiento,es,True
Compra en Netflix: suscripción a revista,8.19,30.27,Entretenimiento,Revistas,es,True
compra de vehículo / Mercado Libre,1168.1,4322.11,Compras,Vehículo,es,True
Netflix - servicio de streaming,82.72,306.05,Entretenimiento,Streaming,es,True
Compra en centro médico: consulta médica,221.3,818.86,Salud y bienestar,Consulta médica,es,True
Compra em Carrefour: fast food,70.05,259.17,Alimentación,Comida rápida,pt,True
Netflix - servicio de streaming,23.09,85.43,Entretenimiento,Streaming,es,True
Compra en gimnasio local: consulta dental,147.63,546.26,Salud y bienestar,Odontología,es,True
fast food / Pão de Açúcar,131.42,486.25,Alimentación,Comida rápida,pt,True
Pagamento de manutenção do veículo em Cabify,249.04,921.46,Transporte,Mantenimiento vehicular,pt,True
transporte público / Uber,10.81,39.98,Transporte,Transporte público,es,True
Pago de combustible en estación de servicio,117.57,434.99,Transporte,Combustible,es,True
Pago de carne en app de delivery,65.95,244.0,Alimentación,Supermercado,es,True
Pago de pago varios en comercio no identificado,254.24,940.71,Otros,Otros,es,True
hotel local - alojamiento en hotel - Nequi,616.32,2280.43,Viajes,Alojamiento,es,True
PedidosYa - verduras,61.43,227.26,Alimentación,Supermercado,es,True
Compra en Udemy: libros,210.79,779.91,Educación,Libros,es,True
alquiler de vivienda / servicio del hogar,240.68,890.55,Vivienda,Alquiler,es,True
creme dental / tienda de cuidado personal,44.77,165.64,Cuidado personal,Higiene,pt,True
public transit / Cabify,46.6,172.4,Transporte,Transporte público,en,True
Compra en Avon: champú,93.75,346.85,Cuidado personal,Higiene,es,True
Pago de productos electrónicos en comercio local,389.44,1440.95,Compras,Electrónica,es,True
membresía de gimnasio / centro médico,3.59,13.28,Salud y bienestar,Gimnasio,es,True
Pago de recibo de agua en proveedor de internet,45.71,169.12,Servicios,Agua,es,True
Compra en servicio del hogar: mantenimiento del hogar,101.84,376.79,Vivienda,Mantenimiento del hogar,es,True
Pago de taxi o aplicativo en Cabify,35.43,131.08,Transporte,Taxi y aplicativo,es,True
Pago de videojuegos en Netflix - SPEI,224.67,831.26,Entretenimiento,Videojuegos,es,True
recibo de electricidad / proveedor de internet,148.46,549.28,Servicios,Electricidad,es,True
Pago de recibo de electricidad en empresa de servicios,95.9,354.81,Servicios,Electricidad,es,True
Spotify - entradas para concierto,463.56,1715.2,Entretenimiento,Eventos,es,True
Compra en proveedor de internet: recibo de gas,190.26,703.95,Servicios,Gas domiciliario,es,True
Compra en Cabify: transporte público,66.91,247.56,Transporte,Transporte público,es,True
manutenção do veículo / Cabify,114.72,424.47,Transporte,Mantenimiento vehicular,pt,True
Compra en hotel local: boleto aéreo,410.55,1519.07,Viajes,Vuelo,es,True
institución educativa - clases de idiomas,192.35,711.68,Educación,Cursos,es,True
Pagamento de livros em institución educativa,221.77,820.56,Educación,Libros,pt,True
Compra en servicio general: pago varios,214.6,794.0,Otros,Otros,es,True
administración residencial - aluguel,343.62,1271.41,Vivienda,Alquiler,pt,True
Compra en PedidosYa: comida en restaurante,75.42,279.03,Alimentación,Restaurante,es,True
Pago de medicamentos en centro médico,140.66,520.44,Salud y bienestar,Farmacia,es,True
Compra en Tottus: frutas - Yape,45.45,168.15,Alimentación,Supermercado,es,True
Pago de entradas de cine en cine local,86.7,320.78,Entretenimiento,Cine,es,True
Compra en centro médico: consulta médica,16.16,59.76,Salud y bienestar,Consulta médica,es,True
Compra en Cabify: taxi o aplicativo,33.24,122.97,Transporte,Taxi y aplicativo,es,True
Pago de joyería en florería local,332.81,1231.4,Regalos,Joyería,es,True
Compra en Uber: transporte público,38.66,143.04,Transporte,Transporte público,es,True
Pago de boleto aéreo en hotel local,413.96,1531.66,Viajes,Vuelo,es,True
Cornershop - pan - Mercado Pago,3.42,12.64,Alimentación,Supermercado,es,True
Compra en gimnasio local: medicamentos,590.25,2183.97,Salud y bienestar,Farmacia,es,True
Mercado Libre - compra de vehículo - Mercado Pago,4092.47,15142.43,Compras,Vehículo,es,True
Pago de compra de vehículo en comercio local,1492.39,5522.07,Compras,Vehículo,es,True
cine local - videojuegos,134.63,498.16,Entretenimiento,Videojuegos,es,True
Rappi - frutas - Nequi,71.76,265.49,Alimentación,Supermercado,es,True
transporte público / Cabify,46.2,170.9,Transporte,Transporte público,es,True
Pago de compra diversa en servicio general,176.51,653.09,Otros,Otros,es,True
Compra en gimnasio local: membresía de gimnasio,163.06,603.32,Salud y bienestar,Gimnasio,es,True
arrendador - alquiler de vivienda,1596.88,5908.6,Vivienda,Alquiler,es,True
Pago de servicio no identificado en servicio general,162.74,602.15,Otros,Otros,es,True
Pago de tarjeta de regalo en Miniso,201.45,745.36,Regalos,Tarjeta de regalo,es,True
brinquedos infantis / Miniso,356.09,1317.53,Regalos,Juguetes,pt,True
Natura - champú,162.52,601.31,Cuidado personal,Higiene,es,True
Pago de recibo de gas en empresa de servicios,33.91,125.45,Servicios,Gas domiciliario,es,True
Compra en Miniso: joyería,356.06,1317.45,Regalos,Joyería,es,True
mantenimiento del hogar / administración residencial,146.83,543.28,Vivienda,Mantenimiento del hogar,es,True
clases de idiomas / Udemy,191.66,709.13,Educación,Cursos,es,True
comercio no identificado - pago varios,21.97,81.25,Otros,Otros,es,True
Compra en servicio del hogar: alquiler de vivienda,459.23,1699.23,Vivienda,Alquiler,es,True
Compra em gimnasio local: medicamentos,142.53,527.36,Salud y bienestar,Farmacia,pt,True
Compra en Mercado Libre: productos electrónicos,938.58,3472.79,Compras,Electrónica,es,True
compra de vehículo / tienda departamental - SPEI,1318.1,4877.11,Compras,Vehículo,es,True
Pago de libros en Coursera,182.85,676.53,Educación,Libros,es,True
alquiler de vivienda / servicio del hogar,565.88,2093.81,Vivienda,Alquiler,es,True
consulta dental / gimnasio local - SPEI,454.92,1683.25,Salud y bienestar,Odontología,es,True
Compra en centro médico: equipo para ejercicio,512.9,1897.74,Salud y bienestar,Equipamiento deportivo,es,True
Pago de café en Carrefour,53.19,196.78,Alimentación,Cafetería,es,True
joyería / Miniso,499.01,1846.41,Regalos,Joyería,es,True
Pão de Açúcar - fast food,21.28,78.7,Alimentación,Comida rápida,pt,True
Pago de mantenimiento del hogar en arrendador,169.51,627.17,Vivienda,Mantenimiento del hogar,es,True
Compra en gimnasio local: entrenador personal,265.07,980.8,Salud y bienestar,Entrenamiento,es,True
Compra em florería local: flores,187.93,695.32,Regalos,Flores,pt,True
Pago de ropa en Mercado Libre,194.14,718.33,Compras,Ropa,es,True
Spotify - materiales de arte,43.26,160.04,Entretenimiento,Lectura y pasatiempos,es,True
boleto aéreo / hotel local,728.49,2695.49,Viajes,Vuelo,es,True
Pago de calzado en tienda departamental,232.68,860.94,Compras,Calzado,es,True
Pagamento de compra de veículo em Mercado Libre,1549.43,5733.09,Compras,Vehículo,pt,True
Pago de champú en tienda de cuidado personal,155.72,576.15,Cuidado personal,Higiene,es,True
Car Repair,447.29,1654.97,Transporte,Mantenimiento vehicular,en,False
Avon - creme dental,40.84,151.09,Cuidado personal,Higiene,pt,True
Compra em Miniso: flores,108.17,400.23,Regalos,Flores,pt,True
Pagamento de ingressos para show em Netflix,242.25,896.34,Entretenimiento,Eventos,pt,True
consulta dental / farmacia local,299.62,1108.61,Salud y bienestar,Odontología,es,True
Pago de suscripción a revista en Spotify,56.82,210.22,Entretenimiento,Revistas,es,True
Compra em comercio local: calçados,178.23,659.46,Compras,Calzado,pt,True
Pago de internet y telefonía en empresa eléctrica,153.18,566.76,Servicios,Internet y telefonía,es,True
entradas para concierto / cine local - SPEI,351.46,1300.43,Entretenimiento,Eventos,es,True
comida en restaurante / restaurante local,58.2,215.34,Alimentación,Restaurante,es,True
Compra en Carrefour: café,23.94,88.56,Alimentación,Cafetería,es,True
servicio no identificado / pago diverso,104.88,388.05,Otros,Otros,es,True
Compra en institución educativa: libros,151.49,560.5,Educación,Libros,es,True
Pago de recibo de agua en proveedor de internet,85.73,317.2,Servicios,Agua,es,True
cuidado de la piel / Natura,752.01,2782.51,Cuidado personal,Cuidado de la piel,es,True
alojamiento en hotel / LATAM,318.19,1177.31,Viajes,Alojamiento,es,True
eletrônicos / Mercado Libre,694.01,2567.9,Compras,Electrónica,pt,True
Pago de combustible en estación de servicio,85.06,314.71,Transporte,Combustible,es,True
materiais de crochê / Spotify,60.56,224.07,Entretenimiento,Lectura y pasatiempos,pt,True
clase de yoga / farmacia local,114.26,422.76,Salud y bienestar,Entrenamiento,es,True
pasta dental / Avon,40.83,151.04,Cuidado personal,Higiene,es,True
Pago de compra diversa en servicio general,93.93,347.52,Otros,Otros,es,True
